Epoch,State,Count
Epoch,State,Count
Epoch,State,Count
182,Infectious,55
182,Recovered,25
183,Susceptible,19
183,Infectious,54
183,Recovered,26
184,Susceptible,20
184,Infectious,52
184,Recovered,27
185,Susceptible,23
185,Infectious,51
185,Recovered,25
186,Susceptible,21
186,Infectious,53
186,Recovered,24
187,Susceptible,22
187,Infectious,53
187,Recovered,24
188,Susceptible,19
188,Infectious,54
188,Recovered,25
189,Susceptible,18
189,Infectious,57
189,Recovered,24
190,Susceptible,17
190,Infectious,58
190,Recovered,23
191,Susceptible,16
191,Infectious,57
191,Recovered,25
192,Susceptible,16
192,Infectious,56
192,Recovered,26
193,Susceptible,18
193,Infectious,54
193,Recovered,26
194,Susceptible,18
194,Infectious,56
194,Recovered,24
195,Susceptible,18
195,Infectious,56
195,Recovered,25
196,Susceptible,18
196,Infectious,55
196,Recovered,25
197,Susceptible,19
197,Infectious,56
197,Recovered,24
198,Susceptible,18
198,Infectious,56
198,Recovered,25
199,Susceptible,17
199,Infectious,57
199,Recovered,25
200,Susceptible,17
200,Infectious,55
200,Recovered,26
201,Susceptible,19
201,Infectious,54
201,Recovered,26
202,Susceptible,18
202,Infectious,55
202,Recovered,26
203,Susceptible,18
203,Infectious,55
203,Recovered,26
204,Susceptible,19
204,Infectious,55
204,Recovered,25
205,Susceptible,18
205,Infectious,54
205,Recovered,27
206,Susceptible,20
206,Infectious,53
206,Recovered,26
207,Susceptible,19
207,Infectious,53
207,Recovered,26
208,Susceptible,20
208,Infectious,53
208,Recovered,26
209,Susceptible,21
209,Infectious,51
209,Recovered,26
210,Susceptible,19
210,Infectious,55
210,Recovered,24
211,Susceptible,18
211,Infectious,55
211,Recovered,26
212,Susceptible,18
212,Infectious,55
212,Recovered,26
213,Susceptible,19
213,Infectious,53
213,Recovered,27
214,Susceptible,21
214,Infectious,52
214,Recovered,26
215,Susceptible,22
215,Infectious,49
215,Recovered,28
216,Susceptible,22
216,Infectious,51
216,Recovered,25
217,Susceptible,21
217,Infectious,53
217,Recovered,25
218,Susceptible,18
218,Infectious,55
218,Recovered,25
219,Susceptible,17
219,Infectious,57
219,Recovered,25
220,Susceptible,18
220,Infectious,56
220,Recovered,25
221,Susceptible,16
221,Infectious,57
221,Recovered,25
222,Susceptible,16
222,Infectious,56
222,Recovered,26
223,Susceptible,17
223,Infectious,55
223,Recovered,26
224,Susceptible,20
224,Infectious,54
224,Recovered,25
225,Susceptible,18
225,Infectious,55
225,Recovered,26
226,Susceptible,19
226,Infectious,53
226,Recovered,27
227,Susceptible,20
227,Infectious,54
227,Recovered,25
228,Susceptible,20
228,Infectious,54
228,Recovered,24
229,Susceptible,20
229,Infectious,54
229,Recovered,25
230,Susceptible,20
230,Infectious,52
230,Recovered,26
231,Susceptible,21
231,Infectious,52
231,Recovered,26
232,Susceptible,21
232,Infectious,52
232,Recovered,26
233,Susceptible,22
233,Infectious,52
233,Recovered,24
234,Susceptible,21
234,Infectious,53
234,Recovered,24
235,Susceptible,19
235,Infectious,55
235,Recovered,25
236,Susceptible,19
236,Infectious,54
236,Recovered,25
237,Susceptible,19
237,Infectious,53
237,Recovered,26
238,Susceptible,18
238,Infectious,55
238,Recovered,25
239,Susceptible,19
239,Infectious,54
239,Recovered,26
240,Susceptible,20
240,Infectious,54
240,Recovered,24
241,Susceptible,20
241,Infectious,55
241,Recovered,23
242,Susceptible,19
242,Infectious,55
242,Recovered,25
243,Susceptible,19
243,Infectious,56
243,Recovered,24
244,Susceptible,18
244,Infectious,55
244,Recovered,26
245,Susceptible,19
245,Infectious,54
245,Recovered,26
246,Susceptible,21
246,Infectious,51
246,Recovered,27
247,Susceptible,21
247,Infectious,52
247,Recovered,26
248,Susceptible,20
248,Infectious,52
248,Recovered,26
249,Susceptible,20
249,Infectious,53
249,Recovered,26
250,Susceptible,21
250,Infectious,53
250,Recovered,24
251,Susceptible,20
251,Infectious,54
251,Recovered,25
252,Susceptible,19
252,Infectious,53
252,Recovered,26
253,Susceptible,20
253,Infectious,53
253,Recovered,26
254,Susceptible,20
254,Infectious,54
254,Recovered,25
255,Susceptible,22
255,Infectious,53
255,Recovered,24
256,Susceptible,20
256,Infectious,53
256,Recovered,26
257,Susceptible,19
257,Infectious,54
257,Recovered,26
258,Susceptible,18
258,Infectious,56
258,Recovered,24
259,Susceptible,17
259,Infectious,58
259,Recovered,24
260,Susceptible,16
260,Infectious,57
260,Recovered,25
261,Susceptible,17
261,Infectious,55
261,Recovered,27
262,Susceptible,19
262,Infectious,54
262,Recovered,26
263,Susceptible,19
263,Infectious,55
263,Recovered,24
264,Susceptible,19
264,Infectious,54
264,Recovered,25
265,Susceptible,19
265,Infectious,55
265,Recovered,25
266,Susceptible,19
266,Infectious,55
266,Recovered,24
267,Susceptible,17
267,Infectious,56
267,Recovered,25
268,Susceptible,19
268,Infectious,54
268,Recovered,26
269,Susceptible,19
269,Infectious,55
269,Recovered,25
270,Susceptible,19
270,Infectious,55
270,Recovered,25
271,Susceptible,17
271,Infectious,57
271,Recovered,25
272,Susceptible,18
272,Infectious,56
272,Recovered,24
273,Susceptible,19
273,Infectious,53
273,Recovered,27
274,Susceptible,18
274,Infectious,55
274,Recovered,25
275,Susceptible,19
275,Infectious,53
275,Recovered,27
276,Susceptible,20
276,Infectious,53
276,Recovered,26
277,Susceptible,20
277,Infectious,53
277,Recovered,26
278,Susceptible,20
278,Infectious,53
278,Recovered,25
279,Susceptible,21
279,Infectious,54
279,Recovered,23
280,Susceptible,20
280,Infectious,53
280,Recovered,25
281,Susceptible,20
281,Infectious,53
281,Recovered,26
282,Susceptible,21
282,Infectious,53
282,Recovered,25
283,Susceptible,19
283,Infectious,56
283,Recovered,24
284,Susceptible,19
284,Infectious,56
284,Recovered,24
285,Susceptible,16
285,Infectious,57
285,Recovered,26
286,Susceptible,16
286,Infectious,57
286,Recovered,25
287,Susceptible,18
287,Infectious,54
287,Recovered,27
288,Susceptible,20
288,Infectious,53
288,Recovered,25
289,Susceptible,18
289,Infectious,55
289,Recovered,26
290,Susceptible,20
290,Infectious,52
290,Recovered,27
291,Susceptible,20
291,Infectious,53
291,Recovered,26
292,Susceptible,19
292,Infectious,53
292,Recovered,27
293,Susceptible,20
293,Infectious,54
293,Recovered,24
294,Susceptible,17
294,Infectious,57
294,Recovered,24
295,Susceptible,18
295,Infectious,54
295,Recovered,27
296,Susceptible,19
296,Infectious,53
296,Recovered,26
297,Susceptible,20
297,Infectious,54
297,Recovered,25
298,Susceptible,20
298,Infectious,55
298,Recovered,23
299,Susceptible,19
299,Infectious,56
299,Recovered,24
300,Susceptible,19
300,Infectious,56
300,Recovered,24
301,Susceptible,16
301,Infectious,56
301,Recovered,26
302,Susceptible,17
302,Infectious,56
302,Recovered,26
303,Susceptible,17
303,Infectious,55
303,Recovered,26
304,Susceptible,18
304,Infectious,53
304,Recovered,27
305,Susceptible,20
305,Infectious,53
305,Recovered,26
306,Susceptible,20
306,Infectious,53
306,Recovered,26
307,Susceptible,20
307,Infectious,54
307,Recovered,25
